show_id,type,title,release_year,rating,duration
s453,Movie,A Perfect Fit,2021,TV-PG,113 min
s535,Movie,Si Doel the Movie 2,2019,TV-G,95 min
s1091,Movie,Story of Kale: When Someone's in Love,2020,TV-PG,78 min
s1137,Movie,Tersanjung the Movie,2021,TV-14,114 min
s1222,Movie,Generasi 90an: Melankolia,2020,TV-14,94 min
s1238,Movie,Mariposa,2020,TV-14,116 min
s1270,Movie,Geez & Ann,2021,TV-PG,106 min
s1324,Movie,Layla Majnun,2020,TV-14,119 min
s1373,Movie,June & Kopi,2021,TV-PG,90 min
s1414,Movie,Tanda Tanya,2011,TV-MA,102 min